response,first variable has more,second variable has leftover (first is taken out),SS Model / PRE has different opportunity / variation to explain,overlapping variation,first gets overlap,sampling variation,reversed explanatory / outcome,one variable is better,coefficients change,misunderstood,did not attempt,qual vs quant,notes
"The analysis is happening in an ordered manner. For example in the top model, the analysis looks at how much error is being reduced by adding the variable chocolate first. Then it does analysis again, looking at how much variation is explained by adding sugarpercent AFTER chocolate has explained some variation. The reverse happens in the bottom model.",1,1,0,0,0,0,0,0,0,0,0,0,
I'm not sure but I think it has to do with which variable is coded for first. It's clear that the total SS model (i.e. the SS for chocolate + SS for sugarpercent) in both cases adds up to 7857,0,0,0,0,0,0,0,0,0,0,0,0,overall SS model still adds up
"There are overlaps in the explanatory variables- chocolates are usually sweet which boosts up sugarpercent. Hence, if chocolate model is ran first, it weakens the effect of sugarpercent. On the other hand, if sugarpercent model is ran first, then it takes some PRE from chocolate model owning to increased sweetness.",1,1,1,1,0,0,0,0,0,0,0,0,
the order by which you explain variation based on explanatory variables is important because you systematically reduce error,1,1,0,0,0,0,0,0,0,0,0,0,systematic reduction
"I honestly have no idea because the math would result in the same predictions no matter the order, but if I had to take a guess it would have to do with the way it is coded. By accounting for whether or not it is chocolate first gives a higher SS model of chocolate and same goes for the SS model of sugarpercent. I would think that looking at chocolate first is ""better"" for candies that have chocolate whereas sugarpercent is ""better"" for those without chocolate. Overall, I think it has something to do with what is used to predict the winpercent first.",1,0,1,0,0,0,0,0,0,0,0,0,same predictions
"Those numbers change because they are the sum of squared residuals calculated from the data before or after the other model is taken into account. If the residuals from a model are calculated before the other model is taken into account, they will be based on the mean of the outcome variable, whereas if they are calculated after the other model is taken into account, they will be calculated based on the regression line created by the first model.",1,1,0,0,0,0,0,0,0,0,0,0,
"Since the order is switched, the variable that explains the error first is different. The second variable explains additional error when added but not as much as when it's the first variable.",1,1,0,0,0,0,0,0,0,0,0,0,
"Sugarpercent is a quantitative variable which yields closer prediction to the actual data, whereas chocolate is a qualitative variable and gives larger SS.",0,0,0,0,0,0,0,1,0,0,0,1,
Because the order of subtraction is altered in each case.,0,0,0,0,0,0,0,0,0,0,0,0,differences in subtraction
maybe something to do with the order of operations?,0,0,0,0,0,0,0,0,0,0,0,0,order of operations
"chocolate explains more variation in the data than does sugarpercent, so the SS Model should be greater for  chocolate than for sugarpercent",0,0,1,0,0,0,0,1,0,0,0,0,
"I think some of the error is explained by the first explanatory variable, and therefore, the second variable has less leftover to explain. Therefore, switching the order changes how much variation both the first and second variable explain.",1,1,1,0,0,0,0,0,0,0,0,0,
This shows that there is a difference between chocolate and sugarpercent,0,0,0,0,0,0,0,0,0,0,0,0,
sampling variation,0,0,0,0,0,1,0,0,0,0,0,0,
"The b2 is the increment from the intercept to the sugarpercent, not the increment from the intercept to the chocolate and then to the sugarpercent.",0,0,0,0,0,0,0,0,0,0,0,0,
because the explanatory variables are tested in different orders they analyze different amounts of variation,0,0,1,0,0,0,0,0,0,0,0,0,
The p-values are different.,0,0,0,0,0,0,0,0,0,0,0,0,p-values are different
"The system runs the variables in the order that they are listed. Since chocolate is listed first in the first one, it has more variation to explain. But when it is listed second, there is less variation to explain since sugarpercent has already explained some of it. This results in it having a smaller SS in the second.",1,1,1,0,0,0,0,0,0,0,0,0,
The order in which the model is run changed the way that the ss  is measured or calculated.,0,0,0,0,0,0,0,0,0,0,0,0,SS is calculated differently
"We consider sugarpercent first, meaning we do not eliminate candies that do not have chocolate, so the SS(model) will increase for sugarpercent. Essentially, more error is reduced when sugarpercent is the first explanatory variable because it includes all candies vs analyzing the sugarpercent of candies only with chocolate.",0,0,1,1,0,0,0,0,0,0,0,0,
"this is true because the overall error reduced from the model with both chocolate and sugarpercent as explanatory variables would be the same, however, the values of SS sugarpercent could be different because there is a certain overlap in the variation explained by only chocolate and only sugarpercent, thus when the order is switched, the overlap is compensated in the variable that is put first in the equation.",1,1,0,1,1,0,0,0,0,0,0,0,
This might be because of differences in subtraction error,0,0,0,0,0,0,0,0,0,0,0,0,differences in subtraction
"I suspect that switching the orders of the two variables is making r consider sugar percent first. Seeing that the SS model is still virtually the same,it is clear that the only reason the ss for the two variables are different, is because both of those variables already overlap. The candies that contain chocolate have some level of sugar percent, so putting sugarpercent first makes r consider that variable more than it did the first time.",1,0,0,1,0,0,0,0,0,0,0,0,
"Running one model first and then the other affects how the variation in the empty model is being explained - if we are to group the data based on sugarpercent first and then look for variation explained by chocolate, we are working with different groupings of the data - and since we would be looking within-group of the sugarpercent groups to explain variation in the empty model based on chocolate, we have slightly different conditions (and data points in each specific group) than if we were looking within-group of the chocolate groups to explain variation in the empty model based on sugarpercent.",0,0,1,0,0,0,0,0,0,0,0,0,different data to consider
"The SS for chocolate model is higher, because the chocolate model explains more variation than the sugarpercent model does.",0,0,0,0,0,0,0,1,0,0,0,0,
"We can see that when adding the SSmodel of chocolate and sugar percent, that they both add to the same 7856.1 overall. The order in which the factors are being applied to the empty model is just happening the factor, whichever one is applied first in a particular model, to explain slightly more then it would, had the factor been added to the model second.",1,0,0,0,0,0,0,0,0,0,0,0,overall SS model still adds up
"I don't think R reduces error with both variables at the same time. I think that based on which variable you place first, R runs through the model in that order. For example, if you put sugarpercent first, it would reduce the error with only that variable, and then reduce that new SS with the chocolate variable.",1,1,1,0,0,0,0,0,0,0,0,0,
"Because the SS is being calculated based on the residual of the model of the variable before it. So for the first model, the prediction of winpercent based on sugarpercent takes into consideration whether or not the candy is chocolate first. But for the chocolate winpercent prediction, it just calculates the SS as if it were only the chocolate model. The opposite is true for the second model.",1,1,1,0,0,0,0,0,0,0,0,0,
"I believe SS is different because the inputted function flips the explanatory and outcome variable, thus the SS will be switched back and forth",0,0,0,0,0,0,1,0,0,0,0,0,
You are reversing which is the explanatory variable and which is the outcome variable.,0,0,0,0,0,0,1,0,0,0,0,0,
because the outcome variables are different,0,0,0,0,0,0,0,0,0,0,0,0,different outcomes
"I think that the SS for chocolate and for sugarpercent are different between the two models because when you put chocolate first in the model, you're seeing how much variation is explained by the candy being chocolate or not and then from there you reduce that model based off of how much sugar is in the candies. If you put sugarpercent first, you're first seeing how much variation is explained by looking at the percent of sugar that is in all candy (doesn't matter whether the candy is chocolate or not chocolate) and then from there, you reduce that model based off of whether or not the candy was chocolate or not.",1,1,1,0,0,0,0,0,0,0,0,0,
"Chocolate explains more variation in winpercent than sugarpercent, so the SS is greater in chocolate.",0,0,0,0,0,0,0,1,0,0,0,0,
I think this is because it depends on the order in which the ANOVA is run - to consider the difference of means between the Grand Mean then chocolate then sugar percent VERSUS the difference of means between Grand Mean then sugar percent then chocolate.,0,0,0,0,0,0,0,0,0,0,0,0,
"Dear Professor Stigler or TA who is reading this, I really appreciate the time you took to go over these short answer questions. Please have a nice winter break and hopefully I passed this class.",0,0,0,0,0,0,0,0,0,0,0,0,
"I'm not sure, maybe it has something to do with the order they are written in the model? Or maybe in one version chocolate is weighted more heavily than sugarpercent?",0,0,0,0,0,0,0,0,0,0,0,0,different weight
"Because they have been flipped, b1X1i would now represent the model for sugar percent an b2X2i would now represent the model for chocolate. Because these two models have changed, the value of b1 and b2 have changed because increments need to be adjusted. Due to this, the individual SS for chocolate and model should be adjusted as their numbers have changed even though the total SS and everything else remains in place because the outcome variable is the same.",0,0,0,0,0,0,0,0,1,0,0,0,true ss total is same
"the increment adding to the variable value has changed due to different variables, therefore the SS also changed",0,0,0,0,0,0,0,0,0,0,0,0,
"This is probably due to sampling variation, in which there are natural fluctuations of the world that causes samples to slightly differ from one another. Because of this, the SS of chocolate and sugarpercent would  be slightly different.",0,0,0,0,0,1,0,0,0,0,0,0,
"The SS for the individual parameters is different because they individually explain certain quantities of error. They are different parameters that, when added to the complex model, will explain variation in their own ways. This results in their SS models being different and add to give a total SS model of variation explained and error reduced by the model.",0,0,1,0,0,0,0,1,0,0,0,0,
"Since we changed the order of chocolate and sugarpercent, we changed the our model ""analyzes"" the data. Making the SS for both chocolate and sugarpercent different. (Since SS Model = sugarpercent ~ chocolate model to Empty.model, this changed the values of SS compared the other model)",0,0,0,0,0,0,0,0,0,0,0,0,ss is calculated differently
"SS total, SS model, and SS error stay the same because the outcome and explanatory variables are the same between the two models. However, SS for chocolate and sugarpercent might have changed because R might have calculated the sum of squares for the two variables in a different order",0,0,0,0,0,0,0,0,0,0,0,0,
"Because the sum of squares represents the variation explained by each model, and if you switch the order of these variables in the model, the SS will show the amount of variation that is reduced compared to the other, so it should be expected that there will be a slight change.",1,1,1,0,0,0,0,0,0,0,0,0,
"By changing the sequence, sugar percent becomes the explanatory variable that is accounted for the variation in win percent. Since there is more error as this state, more error is reduced by sugar percent, and less error can be reduced by chocolate vice versa. Hence, the SS for chocolate when it is account for first but smaller when it is fitted second.",1,1,0,0,0,0,0,0,0,0,0,0,
i think this is because it is calculated in a different way although i think the totals should be the same. i dont really know the answer to this,0,0,0,0,0,0,0,0,0,0,0,0,ss is calculated differently
"When looking at the totals and empty model, they are staying the same as they are not changing. However, when you change the order of chocolate and sugarpercent, the GLM Model is also changing to account fro both differently, which is why the data shows different values going across the rows for the two different methods.",0,0,0,0,0,0,0,0,0,0,0,0,
"The SS model is calculated by taking the distance from each point to the empty model and squaring it. As the order of the variables is reversed, the calculation of this distance will change as well.",0,0,0,0,0,0,0,0,0,0,0,0,ss is calculated differently
"SS are expressed in the units of the measurement; if units changed, SS changes",0,0,0,0,0,0,0,0,0,0,0,0,different units
"That by adding the second factor, not much more variation is explained that it was with only one model.",0,0,0,0,0,0,0,0,0,0,0,0,
"In the chocolate+sugarpercent model, the individual's chocolate value is being considered first, and then based on that, the sugarpercent value is calculated. However, for the sugarpercent+chocolate model, the sugarpercent score is calculated before bringing the chocolate score into the picture.",1,1,0,0,0,0,0,0,0,0,0,0,
"Maybe because when you have one listed first, it gets taken into account more than the second.",1,0,0,0,0,0,0,0,0,0,0,0,
More variation is being explained by chocolate than sugar percent,0,0,0,0,0,0,0,1,0,0,0,0,
"In these tables, we see that the SS Error is the same between the two, meaning that the SS Model must be the same between the two ways. The SS for chocolate and sugar percent may be different because one of the explanatory variables will reduce the error from the null model first and later the other variable will reduce it more based off of the existing one.",1,1,1,0,0,0,0,0,0,0,0,0,
"I think they are much different due to the fact that you're running them in a different order. Because of this, the variation is accounted for differently each time, causing the SS to be different. Although I've never thought about a concept like this before, this was a really good question.",0,0,1,0,0,0,0,0,0,0,0,0,
I think that the SS for chocolate and for sugarpercent are different because the varibles posses different qualities. Chocolate is much bigger than sugarpercent because it is measured differently and is overall bigger than sugarpercent. Hence the SS for chocolate is bigger because we are using bigger numbers to measure it in the first place.,0,0,0,0,0,0,0,1,0,0,0,0,
"Because SS Model is higher for chocolate than sugarpercent, that means chocolate explains more of the error than sugarpercent does.",0,0,0,0,0,0,0,1,0,0,0,0,
The sum of squares are different because the error within each individual group differs.,0,0,0,0,0,0,0,0,0,0,0,0,
"The order of which variable is used to explain the SS total at first matters for the SS for chocolate and for sugarpercent because the second explanatory variable explains the SS error that is already explained by the first explanatory variable, and the SS error is already error reduced by the first one.",1,1,1,0,0,0,0,0,0,0,0,0,
"SSModel is calculated based on prediction minus the grand mean. This prediction for the ""SSModel"" is the same in both models, as expected, when making predictions for each data point based off their values for the explanatory variables in the complex model. However, the SS for chocolate and the SS for sugarpercent are the components of the overall SS model. Depending on which variable is first, the predictions overall for both explanatory variables don't change, but the predictions per explanatory variable versus the other explanatory variable will change, creating different SS for chocolate and sugarpercent.",1,1,1,0,0,0,0,0,0,0,0,0,components of SS Model
Because there is some common error that can be reduced both by chocolate and sugarpercent. Thus the first factor we take to reduce error will take advantage and reduce more error than if it's the second one.,1,1,0,0,0,0,0,0,0,0,0,0,
"I am not sure. But I think it might have to do with that chocolate had a better model than sugarpercent. So when you use sugarpercent first, the model is worse off.",0,0,0,0,0,0,0,1,0,0,0,0,
There is some crossover between the two.,0,0,0,1,0,0,0,0,0,0,0,0,
"Candy with chocolate already assumes that there is higher sugar in it. If we do chocolate first, then it's kind of like we're explaining variation using chocolate and already a little bit of sugar. If we do sugar first, we are explaining more variation with the sugar and then afterward chocolate, so the chocolate is less dependent on the sugar now.",1,1,1,1,1,0,0,0,0,0,0,0,
"maybe it depends which order you put them in that will determine how much they will each account for in terms of reducing error. however, since they both have the same explanatory and outcome variables the ss values of error, total, and model will be the same but the order will determine the balance between the two.",0,0,1,0,0,0,0,0,0,0,0,0,
"Since the order is reversed, the increment in chocolate increase for each unit increase in sugarpercent is different from the increment in sugarpercent increase for each unit increase in chocolate.",0,0,0,0,0,0,0,0,1,0,0,0,
"because they are different variables within their own model, they each have their own respective representations of the model. This mean each variable has their own SS model, and then they each explain their own amount of variability within their own model.",0,0,0,0,0,0,0,0,0,1,0,0,different variables
"some variations are explained by both the chocolate and sugarpercent, in other words, there is an overlap.",0,0,0,1,0,0,0,0,0,0,0,0,
because there is more impact on the order of variables,0,0,0,0,0,0,0,0,0,0,0,0,
"Maybe because some of the variation explained by either variable overlap. So, when chocolate is the first explanatory variable, it also accounts for some of the variation explained by sugarpercent, so that sugarpercent has less SS to explain, and vice versa.",1,1,1,1,1,0,0,0,0,0,0,0,
"When looking at the empty model, SS model, SS error, and SS total doesn't change because as long as we are using the same outcome variable, winpercent. However, once we start using explanatory factors such as chocolate and sugar percent, they will differ in SS because they are 2 completely different models.",0,0,1,0,0,0,0,0,0,1,0,0,different variables
"The amount of error explained by each explanatory variable is different, so when switching the order of them, the SSModels in the supernova will be different for each variable, but ultimately they will end up adding up to the same number because the same outcome variable and explanatory variables are being used, just fitted in a different order.",0,0,1,0,0,0,0,0,0,0,0,0,
"I think that this difference is due to sampling variation. Due to random chance, values are always going to be slightly different",0,0,0,0,0,1,0,0,0,0,0,0,
I think this might be because there is always variablitly among the variable and there is always sampling variation,0,0,0,0,0,1,0,0,0,0,0,0,
Running different models used different samples from the population. The differences shown in the models are a result of sampling variation.,0,0,0,0,0,1,0,0,0,0,0,0,
The second two-factor model accounts for sugarpercent first then whether the candy was chocolate or not,0,0,0,0,0,0,0,0,0,0,0,0,
this might have to do with the order the models are applied in,0,0,0,0,0,0,0,0,0,0,0,0,
There is a difference in the F statistic due to the SS being different. Putting either variable first in line seems to increase their total sum of squares in the model. I think this is because the order can matter.,0,0,0,0,0,0,0,0,0,0,0,0,
"Based on what explanatory variable is being calculated first, the predicted value will vary from its starting point. If chocolate was first, it would first predict it from the model and then add the sugarpercent variable. Also, the values of sugarpercent are much lower than those of the chocolate variable.",0,0,0,0,0,0,0,0,0,0,0,0,
It could be that there is a difference of effect of sugar percent affecting chocolate and vice versa,0,0,0,0,0,0,0,0,0,0,0,0,sugar affects chocolate
The model that explains more seems to possibly be taking into account candies that have chocolate THAN accounting for sugar percentage on the bars that have chocolate.,0,0,0,0,0,0,0,0,0,0,0,0,
Because they have different outcome variables.,0,0,0,0,0,0,0,0,0,0,0,0,different outcome
There is a difference in the SS for them because the sugarpercentage is quite small in comparison to the chocolate true. Therefore this leads to a difference in the numbers,0,0,0,0,0,0,0,1,0,0,0,0,
"I think this may be because given the change of position in the GLM notation, b1 and b2 had to adjust their values according to the necessary increment that needed to be added for that particular variable. This in turn affected the SS for chocolate and sugarpercent depending on whether they were in the b1 or b2 positions of the GLM notation.",0,0,0,0,0,0,0,0,1,0,0,0,
The SS for chocolate and for sugar percent are quite different across these two models because of the order R reads it in.,0,0,0,0,0,0,0,0,0,0,0,0,
"That is because b1 (the increment being added) for chocolate and sugar percent is switched between the two models, and so the SS for each changes quite a bit.",0,0,0,0,0,0,0,0,1,0,0,0,
This is because the P and F ratio are different.,0,0,0,0,0,0,0,0,0,0,0,0,p values are different
this is because there is different variability amongst the different variables,0,0,0,0,0,0,0,0,0,1,0,0,different variables
I think the SS for each one is different because each table is taken from different samples.,0,0,0,0,0,1,0,0,0,0,0,0,
"Parts of the SS from the empty model reduced after we run the first model, since the order is different, the SS for both model is different.",0,0,1,0,0,0,0,0,0,0,0,0,
"Chocolate probably accounts for more error when it is the explanatory variable for winpercent. However, sugarpercent is not likely to have an effect on winpercent on its own.",0,0,0,0,0,0,0,1,0,0,0,0,
"It is because we use different models to explain errors in different orders. If we use the chocolate model before the sugarpercent model, there's still quite a lot of error the chocolate model can explain because all the errors are directly from the empty model; however, if we use the sugarpercent model first, a lot of the errors are already explained, so there is not as much leftover error for the chocolate model to explain, which accounts for the lower SS of chocolate model when it is used after the sugarpercent model. Vice versa for the sugarpercent model. The key is to look at how much error the two models can explain as a combined unit.",1,1,1,0,0,0,0,0,0,0,0,0,
"I think that the error between them is changing because it runs one variable first than the other, and this causes SS to change because the order is being reversed.",0,0,0,0,0,0,0,0,0,0,0,0,
"When chocolate is placed first ahead of sugarpercent, it explains the variation first, leaving less variation to be explained by the next variable, which is sugarpercent. If we switch the order of these two explanatory variables we can see that the amount of variation sugarpercent now explains is higher due to it explaining the variation first. This leaves the variable of chocolate to explain less variation because it no longer needs to. Order matters.",1,1,1,0,0,0,0,0,0,0,0,0,
"This could be happening because each ANOVA table is using a slightly different model to find the residuals. One is a two group model, and the other is a regression model. The total amount of error reduced is the same, because the mean always minimizes the residuals, but they are being minimized in two different ways.",0,0,0,0,0,0,0,1,0,0,0,1,
"When we had chocolate first (coded with 1 or 0), if the candy was chocolate then it added b1, but then stopped, failing to take into account sugar percentage. Now, if a candy has chocolate, both sugar percentage and whether or not it has chocolate are taken into account, leading to a higher MS Model for sugarpercent and a lower MS model for chocolate.",1,0,1,0,0,0,0,1,0,0,0,0,
"They are both still different variables being used, meaning they will not have the same SS across.",0,0,0,0,0,0,0,0,0,1,0,0,different variables
Its a result of the different amount of individuals in each model but also the fact that SS for chocolate and SS for sugar percentage is are different . Some may like chocolate but not necessarily like sugar for example --> variability,0,0,1,0,0,1,0,0,0,0,0,0,different variables
"Since chocolate and sugarpercent are related (amount of chocolate predicts some amount of sugarpercent, and vice versea), the order in which each model is run matters. When running the chocolate model second, there is less variation left because of the sugarpercent model, so the chocolate model explains less variation in this case. Running the chocolate model first would give it more variation to explain away.",1,1,1,1,0,0,0,0,0,0,0,0,
"The SS for chocolate and for sugarpercent are quite different across these models because we switched the outcome and explanatory variables. Thus, there will be a different SS for chocolate and sugarpercent because those values are based on the outcome variable which have been changed.",0,0,0,0,0,0,1,0,0,0,0,0,different outcome
"SS is the sum of squared deviations from each person's predicted score to their actual score. The predicted scores differ between the two models, thus, the values for SS for chocolate and sugarpercent will vary as well.",0,0,0,0,0,0,0,0,1,0,0,0,
"Once one explanatory variable explains the data, the next explanatory variable has to work with what is left over. So chocolate explains more of the variation than sugar percent so sugar percent SS is smaller.",1,1,0,0,0,0,0,0,0,0,0,0,
When flipping the order of both variables it is possible one of them explains more error than the other. It all depends on the order they were inputted in. It would vary based on the variable that was inputted.,0,0,0,0,0,0,0,0,0,0,0,0,
They are similar because the explanatory variables of both models are the same.,0,0,0,0,0,0,0,0,0,0,0,0,
"chocolate explains more variation than sugarpercent, therefore in the model where chocolate is ran first, most of the variation is being explained by chocolate. But in the model where sugarpercent is being run first, because it explains little variation, the model is weaker and there is less error being explained",1,0,0,0,0,0,0,1,0,0,0,0,
"the SS models for chocolate and sugar percent are probably different because of the order they're in. SS model is the error explained by the variable. it might be accounting for the error in the order they're in. for ex, if chocolate is first, it accounts for a lot more error than sugar, so it takes care of error and any other error accounted for by sugar becomes lower since it is after. if sugarpercent is first, it does the same: accounts for the error it can and chocolate does the rest up to its potential. I think IT'S ERROR OVERLAP! some of the error accounted by sugarpercent can also be accounted for by chocolate.",1,1,1,1,0,0,0,0,0,0,0,0,
It changed because we switched the variables around but the SS total stayed the same because they use the same outcome variable.,0,0,0,0,0,0,0,0,0,0,0,0,SS Total stays same
"SS model for the first explanatory variable is the amount of reduced error based on the empty model (when all error is still present), SS model for the second variable is the amount of reduced error based on the left-over error after using the fist explanatory variable (some of error has been reduced by the first explanatory variable), hence the difference depended on which explanatory variable to be used first",1,1,1,0,0,0,0,0,0,0,0,0,
"When you first explain variation using a particular variable, it somehow affects the results of the other variable. Even if one variable explains more variation compared to the other one, switching their order still makes a difference in their relative SS Model numbers.",0,0,1,0,0,0,0,0,0,0,0,0,
"On the first model, the chocolate model was run first. So it takes out the winpercent outcomes that were explained by chocolate and then runs the second model. Similarly, the second model runs the sugarpercent first, which takes out the winpercent outcomes that were explained by the sugarpercent and leaves the rest be evaluated whether each candy is explained by the chocolate model or not.",1,1,1,0,0,0,0,0,0,0,0,0,
SS measures the square of the residuals therefore they must be different for each one.,0,0,0,0,0,0,0,0,0,0,0,0,
There is a correlation between chocolate and sugarpercent.,0,0,0,1,0,0,0,0,0,0,0,0,
"We switched the order in the GLM format (from ""winpercent~ chocolate + sugarpercent"" to ""winpercent~ sugarpercent + chocolate""). Therefore that might have changed our numbers around a little bit.",0,0,0,0,0,0,0,0,0,0,0,0,
"because we using the same data, the empty model stay the same. even we change the position of chocolate and sugarpercent, the correlation will not change, the variance explained by the model will not change,  The model is three group model YI=b0+b1xi+b2xi+ei,  no matter we change the postion. for example, the first one is Yi=38.26+18.27*x1i+0.09*x2i, when its chocolate, x1i=1,x2i=0, the Yi=38.26+18.27. Same thing in second one, YI=38.26+0.09*x1i+18.27*x2i, if its chocolate, x1i=0,x2i=1, then the outcome are the same 38.26+18.27. so basically, even we change the position of parameter, but we measure same variable, so even SS are different, but the MS MODEL, SS model, SS eeror, MS error are the same .",0,0,0,0,0,0,0,0,0,0,0,0,they aren't different
They are different because the amount they vary changes depending on which is looked at first.,0,0,0,0,0,0,0,0,0,0,0,0,
Because the individual variables account for different amounts of variation.,0,0,0,0,0,0,0,0,0,1,0,0,different variables
Perhaps this resembles what happens when we shuffle. The relationship between winpercent and the two explanatory variables changes as we alter our coding.,0,0,0,0,0,0,0,0,0,0,0,0,it's like shuffling
The scale of error from the empty model could be different in each group. One could also have more data points than the other resulting in a higher SS.,0,0,0,0,0,1,0,0,0,0,0,0,scale is different
They are different because one of them (chocolate) explains more variation than the other (sugarpercent),0,0,0,0,0,0,0,1,0,0,0,0,
I am really not sure how to explain it but I believe it has something to do with the model fit,0,0,0,0,0,0,0,0,0,0,0,0,
"Each model piece of the model is building on the previous part, so if you change the order it will add a different increment depending on what variable was before it. The important thing is that the sum of squares total is the same, because they are predicting the same output variable.",1,1,1,0,0,0,0,0,0,0,0,0,SS Total stays the same
"Because which explanatory variable is run first will affect the value of error reduced of the next variable that is run. The value in the calculation for error reduced by model will be different. Specifically, if run sugarprecent model first, when we calculate the SS for chocolate we've already taken the effect of sugarprecent into account whereas in running chocolate model first, it will be opposite.",1,1,1,0,0,0,0,0,0,0,0,0,
The first variable explains more of the variation first.,1,0,0,0,0,0,0,0,0,0,0,0,
Chocolate explains more of the SS error than sugarpercent. Together they explain the same amount of error but chocolate explains more of it.,0,0,0,0,0,0,0,1,0,0,0,0,
"Both versions of the two-predictor model have the same SS model, but by changing the variables, it changes the order of operations for our equation.",0,0,0,0,0,0,0,0,0,0,0,0,order of operations
"More of the sum of squares total can be explained by sugarpercent when it is the first group in the model. By comparison, less of the sum of squares total is explained by sugarpercent when it is the second group in the model.",0,0,0,0,0,0,0,0,0,0,0,0,described the table
"By flipping the order, flipping the relationship of being an explanatory variable versus an outcome variable. However, because SS model is calculated as the distance between the complex model's mean and the null model, and SS error is calculated as the distance between the data point and the complex model's predication, it makes sense that these stay the same. Also even if you flip the order of explanatory variable and outcome variable, SS total should stay the same because it is still calculated as the sum of squared residuals. SS choclate and SS sugarpercent are different due to flipping the relationship of explanatory and outcome variable",0,0,0,0,0,0,1,0,0,0,0,0,
"Maybe it has something to do with how the code interprets the input, creating the model based on the first variable and then reading the ""+ chocolate/sugarpercent"" next and operating on that afterward.",1,1,1,0,0,0,0,0,0,0,0,0,
"I ink the SS for chocolate and for sugarpercent are quite different across these models because by putting chocolate first, we are having the sugarpercent being the explanatory variable, and when putting sugar percent first, we are having chocolate be the explanatory variable. If the name of the variable goes before the tilda (~), then its values on on the y axis as explanatory variable, which helps explain why they have such different data across these two models.",0,0,0,0,0,0,1,0,0,0,0,0,
The SS for chocolate and sugarpercent are different because when we took the new sample the total squared deviations from the mean changed because of sampling variation.,0,0,0,0,0,1,0,0,0,0,0,0,
"Maybe the order in which we choose to list chocolate and sugarpercent influences magnitude of the role each plays in reducing error/explaining variation. While together, they explain the same amount in each case, it's possible that by listing one before the other, one has a greater effect, which reduces the other's effect proportionately.",1,1,0,0,0,0,0,0,0,0,0,0,
"Sugarpercent becomes the b1 while chocolate becomes b2. Therefore, the increments (b1 and b2) values change and the SS will change accordingly as well.",0,0,0,0,0,0,0,0,1,0,0,0,
they have the same outcome variable but different explanatory,0,0,0,0,0,0,0,0,0,0,0,0,
