response,multiple explanatory variables /more complex,explain more variation/error,ss model larger,ss total same,less error left,not necessarily better,cost of variables,overlap,pre larger,distance to model / deviation from the model,combined models,reducing empy model error,statistically significant predictors,better predictions,notes
"We know that the chocolate model and the sugarpercent model both explain the variation in the empty model to some degree (though the actual degree may vary). Regardless, the fact that both these models explain some variation in the empty model means that, when using both variables to try and explain variation, the effect of explaining the variation is compounded and more variation is explained in total. This means that the SS error of the two-predictor model will be even less, as more variation is being explained by the SS Model.",1,1,1,0,0,0,0,1,0,0,0,1,0,0,
"Because the two-predictor model explains more variation than either the chocolate model or the sugarpercent model, which means the two-predictor model has a higher SS model and a lower SS error.",0,1,1,0,0,0,0,0,0,0,0,0,0,0,
"The more models that are added in, the more error will be reduced, because each time a model is added, is highly likely it will explain something even a little bit. Therefore the SSerror will decrease, while the SSmodel will increase whenever another explanatory variable is added.",1,0,0,0,0,0,0,0,0,0,1,0,0,0,
"If we factor in both variables, the error they both can explain should come together into a larger overall SS Model. As SS Model increases, SS Error should decrease.",1,0,1,0,0,0,0,1,0,0,0,0,0,0,
"Because the more we add to the model, the more accurately we are able to predict outcomes. We also spend degrees of freedom with every model that we add. We can do this an infinite (depends on our sample size; or until we run out of degrees of freedom) amount of times until we come up with a model that accurately predicts our sample, but this would not be helpful in modeling the population.",1,0,1,0,0,0,1,0,0,0,0,0,0,1,
"I think this is true because as you add more variables, error reduction is increased. If error reduction is increased, SS error will decrease.",1,0,0,0,1,0,0,0,1,0,0,0,0,0,
Using two variables instead of one variable would allow us to explain more of the error that is left unexplained by the empty model.,1,0,0,0,1,0,0,0,0,0,0,1,0,0,
"Because the leftover error with a model that includes two parameters, should be lower than a model with only one parameter. Provided that each parameter has an impact on the outcome variable",1,0,0,0,1,0,0,0,0,0,0,0,0,0,
"I think that the two predictor model should have a lower SS error than either the chocolate model or the sugarpercent model because by adding another variable into the model to explain variation in winpercent, there is going to be less error leftover from the two predictor model.",1,1,0,0,1,0,0,0,0,0,0,0,0,0,
"It should have a lower SS error because having two explanatory variables explains more of the variation in the model. Since SS error is the total error squared in the model, having more variation explained will decrease error.",1,1,0,0,0,0,0,0,0,0,0,0,0,0,
"Of the total variation in the data, the two-predictor model should explain more of the variation than either [chocolate] or [sugarpercent] models are able to alone. Since there will be more variation explained, SS Model will increase. Since SS Total does not change because it is still measuring the same outcome variable, SS Error (remainder of SS Total that is not explained by the model) will thus decrease.",0,1,1,1,0,0,0,0,0,0,0,0,0,0,
The lower SS Error indicate that that the two-predictor model is a better model and that should be true because two-predictor model adds more variable to explain why students with chocolate scored better than instead of just having one variable.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,less error means better model
"Having two explanatory variables should in explain the variation in winpercent better than one explanatory variable, therefore there should be SS model should be raised (more explained error) and SS error should decrease (less leftover error).",1,1,1,0,1,0,0,0,0,0,0,0,0,0,
"This is probably true because with the addition of another group, more error is accounted for and therefore explained. It should thus have a higher SS model and lower SS error but the same SStotal.",1,1,1,1,0,0,0,0,0,0,0,0,0,0,
"As there is one more predictor, the deviation of each data from the data to the complex prediction is decreased because there is more evidence in for the model to rely on and make a more accurate prediction.",1,0,0,0,0,0,0,0,0,1,0,0,0,0,more evidence
"It should have a lower SS error as you are combining two explanatory variables together, the amount of error explained by the SS model would add up together and increase, thus reducing SS error.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"The SS error should be lower, because the two-predictor model will explain more variation in the outcome variable that either of the other two models. Even though the model will lose simplicity by adding another parameter, the SS error will be reduced more significantly; therefore, more error will be explained and less will be left unexplained.",0,1,0,0,1,0,1,0,0,0,0,0,0,0,
"I think this is true because since we are adding another group to our model, we are explaining more variation, thus decreasing our SS error. While different, the result is the same as adding the 10 height groups versus 3 height groups to Height in the Fingers data frame. This doesn't necessarily make the model better, because we want our models to be as elegant as possible, but it does explain more variation",1,1,0,0,0,1,1,0,0,0,0,0,0,0,adding groups
"This is true because there are more explanatory variables explaining the variation in winpercent in the two-predictor model compared to the chocolate and sugarpercent models. Since both variables are being used to explain winpercent, there is less error from the model.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,
Because it should explain more variation than either the chocolate or sugarpercent model alone.,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
"This is because with every explanatory variables introduced to a complex model, there would be more variations explained no matter how ""good"" the explanatory variables are. With an increase in variations explained, there would be a decrease in leftover error or SS error. Hence, model with two predictors would definitely have lower SS error then model with either predictor.",1,1,0,0,1,0,0,0,0,0,0,0,0,0,"variables don't have to be ""good"""
"if a model explains more variation then the ss error should be lower, because ss error is the leftover error that isnt explained",0,1,0,0,1,0,0,0,0,0,0,0,0,0,
"Because there are two variables being accounted for, more variation in the model is explained. This means that the error decreases as the distance between the two means decreases overall.",0,1,0,0,0,0,0,0,0,1,0,0,0,0,
"A lower SS error indicates a better model. It means there is less unexplained variation. With two explanatory variables, each contributing to explaining part of the variation, the total unexplained variation decreases.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,
"more parameter, less leftover error",1,0,0,0,1,0,0,0,0,0,0,0,0,0,
"SS Error is calculated from residuals after some variation has already been explained, having a two parameter model should explain for more error and thus have a smaller SS Error.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Whenever we add an explanatory variable to a model, it will decrease the leftover variation from the empty model. So by having two explanatory variables, our SS Model will be larger (larger than just with one explanatory variable) because more variation in the outcome variable will be explained. SS Error therefore would be less because we would have less unexplained variation.",1,1,1,0,1,0,0,0,0,0,0,1,0,0,
"because more of the model is being explained since there is more than one explanatory variable, so the error goes down resulting in a less SSerror",1,1,0,0,0,0,0,0,0,0,0,0,0,0,
"We have added more explanatory variables, therefore more variation is being explained/reduced. This leaves less SS error left over.",1,1,0,0,1,0,0,0,0,0,0,0,0,0,
The two-predictor model may have a lower SS error than the chocolate model or the sugar percent model since the two-predictor model will reduce more error within the null model (large SS Model). Due to this it will have a smaller SS error since SS Error=SS Total-SS Model.,0,1,1,0,0,0,0,0,0,0,0,0,0,0,
I consider this to be a true statement because it explains more variation than the model with only one predictor. SS Error = the error left over after using a complex model,1,1,0,0,1,0,0,0,0,0,0,0,0,0,
I think this is true because there are more variables so hence there is more opportunity to explain variation and error in the model.,1,1,0,0,0,0,0,0,0,0,0,0,0,0,opportunity
"Because there are more variables that explain error, there will therefore be less error leftover",1,1,0,0,1,0,0,0,0,0,0,0,0,0,
There is more variation explained when a parameter is added to the complex model.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Since we use two explanatory variables, the SS error must be lower compared to using only a explanatory variable. I thought more explanatory variables means more reduced error.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,
"The two-predictor model combines two models and includes more parameters. The more parameters there are, the closer individual values will be to the overall prediction by the two-predictor model. The closer the individual values are to the overall prediction by the two-predictor model, the less the error for the aforementioned model, and so the SSerror, in turn, will decrease.",1,0,0,0,0,0,0,0,0,1,0,0,0,0,
"Because SS error is the leftover error unexplained by the model. With one more explanatory variable, we have more information to predict the outcome variable hence get a more accurate value of the prediction, which makes the leftover error lower.",1,0,0,0,1,0,0,0,0,0,0,0,0,0,
"That is what I put. I thought that it would be lower since we will be looking at more factors, therefore the data should have less error.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,
"The model with two predictors should explain more variation than a model with one, so there should be less error leftover from the model.",1,1,0,0,1,0,0,0,0,0,0,0,0,0,
"Because the two-predictor model explains more of the variation than either of the other models. Therefore, SS model is bigger and SS error is smaller.",0,1,1,0,0,0,0,0,0,0,0,0,0,0,
"this is true because adding another explanatory variable, you will make the ss model larger since there will be more to explain error. this will then reduce error left over.",1,0,1,0,1,0,0,0,0,0,0,0,0,0,
I think that this is true because adding a parameter decreases the error because the model will be explaining more.,1,1,0,0,0,0,0,0,0,0,0,0,0,0,
"It is true because naturally, as we increase the number of explanatory variables in our model, we will see more of the model's variation explained. Within our SS total, we have a given number and within that number, we see out SS model expand therefore our SS error decreases.",1,1,1,1,0,0,0,0,0,0,0,0,0,0,
"The two-predictor model is more complex, so it explains more variations and thus it has a lower SS error.",1,1,0,0,0,0,0,0,0,0,0,0,0,0,
Because it explains more variation than either of the two models,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
"Because the more explanatory variables are introduced, the smaller will the remaining unexplained variation be. It's like each explanatory variable accounts for an additional share of unexplained variation.",1,0,0,0,1,0,0,0,0,0,0,0,0,0,
I think this because with the two variables combined we should be able to explain more variation from the empty model. Because combined they explain more we should have less error when looking at our model.,1,1,0,0,0,0,0,0,0,0,0,1,0,0,
"This is true because SSError is unexplained error and by adding another explanatory variable you are explaining more error, thus reducing the SSError.",1,1,0,0,0,0,0,0,0,0,0,0,0,0,
Because by adding more explanatory variables you are explaining more of the error compared to the empty model.,1,1,0,0,0,0,0,0,0,0,0,1,0,0,
I think this is true because the two-predictor model is explaining more variation than just a one-predictor model meaning that we should have less error when two factors are predicting it versus 1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,
"The two-predictor model contains both the chocolate model and sugarpercent model, so more variables would explain more error and reduce the SS Error overall.",1,1,0,0,0,0,0,0,0,0,0,0,0,0,
The two-predictor model should have a lower SS error than either the chocolate model or the sugarpercent model because having two model predictors accounts for more of the data,1,1,0,0,0,0,0,0,0,0,0,0,0,0,
because the two predictor model explains more of the variation than either of the one predictor models,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
Because SS error is the error left over from the model. Adding an additional parameter to a model will increase its ability to explain error (PRE) and also increase its SSModel,1,0,1,0,1,0,0,0,1,0,0,0,0,0,
"This is true because the two added parameters help explain more variation. Therefore, the SS model would increase and the SS error would decrease.",1,1,1,0,0,0,0,0,0,0,0,0,0,0,
"Because there should be less error, and more of the variation explained by the ss model when adding parameters",0,1,1,0,0,0,0,0,0,0,0,0,0,0,
This is because it will reduce the amount of error in the residuals by adding another parameter to each complex model.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
Because it explains more variation,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
It has to have SS lower than that because through the analysis the information of the SS are the same and therefore if we are adding another group we are altering the variation. So the SS error would be less because it is categorized.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
I think that this is true because the SS Model should be larger given the complexity of the new model which includes more explanatory variables to account for more error than in the previous models.,1,0,1,0,0,0,0,0,0,0,0,0,0,0,
The two-predictor model should have a lower SS error than either the chocolate model or the sugar percent model because the distance of each score from the mean of its group has gotten smaller.,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
"SS total will be the same because we are still using the same outcome variable. If we are using a better model that reduces more error (explains more variation), as a more complex model such as the one we are using would, then SS model would be higher (because there is more error reduced), and so SS error would be lower (there is less total error).",1,1,1,1,0,0,0,0,0,0,0,0,0,0,
This is true because their y intercepts were different.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
because the combination of two variables probably explains more variation that either of them making the two-predictor more reliable and decreasing the ss error,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
"I think it's true because since we are now using two explanatory variables to explain the outcome variable, it should be more accurate than when we were using one variable, so the error is now less.",1,1,0,0,0,0,0,0,0,0,1,0,0,0,
"I think this is true because the two-predictor model helps explained more variation than the chocolate model and sugarpercent model, it can be seem as a combination of these two model.",0,1,0,0,0,0,0,0,0,0,1,0,0,0,
"Two predictor models are accounting for more variability, which should result in more error accounted for. This means there will be less unknown error.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,
"Because the two model combined explain more error from the empty model than either one by itself (SS model increases), while the SS total remains the same. According to SS total=SS model+SS error, SS error decreases, making it smaller than either model.",0,0,1,1,0,0,0,0,0,0,1,1,0,0,
"This is true  because when combining the two, there is a better affect of both predicting the winpercent, so it lower the SS error.",0,0,0,0,0,0,0,0,0,0,1,0,0,1,
"This is true due to the reason that when adding both variables as explanatory, it adds both their sum of squares together from the SS Model, and thus the SS Error will be in general lower.",0,0,1,0,0,0,0,0,0,0,1,0,0,0,
"The two-predictor model should have a lower SS error than either model, because they both explain some of the variation in winpercent. Therefore, when combined, they will explain even more than either model did alone. Also, since there are almost certainly always going to be multiple reasons for variation in a variable, if two explanatory variables do a good job of predicting the outcome, then together they will do an even better job.",1,1,0,0,0,0,0,1,0,0,1,0,0,0,
"This is true because we are using more parameters, giving us better predictions of individual scores. However, while it is helping our PRE, we have to be wary of the effect it has on the f ratio.",1,0,0,0,0,1,1,0,1,0,0,0,0,0,
"You are combining both models into one single model, making it more specific, and therefore, more accurate.",0,0,0,0,0,0,0,0,0,0,1,0,0,0,
You are now taking into account multiple predictors so it makes sense that your standard error would decline since you'd have more samples to work with.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,more samples
The two-predictor model should have a lower SS error than either the chocolate or sugarpercent model because the combination of predictive power of the chocolate and sugarpercent model would explain away more error than any single-predictor model. So there would be less error remaining for the two-predictor model.,0,1,0,0,1,0,0,0,0,0,1,0,0,0,
Because we are explaining more of the error from the model by including 2 explanatory variables thus our complex model prediction is bigger(SS model).,0,1,1,0,0,0,0,0,0,0,0,0,0,0,
"SS Error is the error leftover after the complex model has been taken into account/ the residuals between the data and complex model's prediction. Because in this model there are now two variables accounting for variation in the data, the model will explain more variation in the data. Thus, the residuals between the data and complex model will be smaller, and SS error will be reduced.",1,1,0,0,0,0,0,0,0,1,0,0,0,0,
Together they explain more of the variation in win percent than they do separately.,0,1,0,0,0,0,0,0,0,0,1,0,0,0,
The two predictor model would have a lower SS Error because we are adding two more variables that could explain the variation that was left over by the one of the models.,1,0,0,0,1,0,0,0,0,0,0,0,0,0,
"That is true because we are adding more parameters, thus making our model a better predictor, in which case the SS error would be lower.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Because it will explain more variation, therefore, the error from the empty model will be lower because more of it is being explained.",0,1,0,0,0,0,0,0,0,0,0,1,0,0,
"because adding another predictor/parameter should (usually) DECREASE the amount of error from the model. this way, we see how much error can be accounted for by using another parameter rather than the empty model or a model with only one extra parameter. the data points would be explained better, if that makes sense.",1,1,0,0,0,0,0,0,0,0,0,0,0,0,helps determine effect of 1 variable
Because we spend more degrees of freedom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,spending degrees of freedom
"There is a higher chance that the two-predictor would explain more variation than either chocolate model or sugarpercent model because there are now 2 explanatory variables, SS model (the SS that is explained) would now be higher, SS total maintains the same, hence the SS error to be decreased",0,1,1,1,0,0,0,0,0,0,0,0,0,0,
"It should have a lower SS error because we picked 2 variables that might explain the variation in winpercent. In other words, not only chocolate is considered as an explanatory variable, but sugarpercent as well. And the more variables we include, the more variation we can explain using our complex model.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,
"It is true because the outcome variable is being explained by two variables, which makes the Sum of Squares Error be decreased compared to the chocolate and the sugarpercent models.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,
"This is that case because SS error is what we are trying to reduce. When we have data that explains more variation (larger PRE) and has a larger SS Model and SS Total, we are reducing error and therefore becoming more precise.",1,0,1,0,0,0,0,0,1,0,0,0,0,0,larger ss total
"This is true because more of the variation would be explained using the two-predictor model than either the chocolate model or the sugarpercent model. Since variation is represented by how much error there is, it follows that the less error there is, the more variation is explained by the two-predictor model.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,
"Because more variation is explained when you combine the two explanatory variables. The more variation from the empty model that you explain, the smaller the error from your new model you'll see. Just because more is explained! The error is just the unknown variation you still haven't explained yet.",1,1,0,0,0,0,0,0,0,0,0,0,0,0,
"Because complex model use 2 parameter and explain more variables, so SSmodel will increase. SS error=SStotal-SSmodel, since same outcome variable, so SStotal stays the same.As SS model increases, SS error will decreases",1,1,1,1,0,0,0,0,0,0,0,0,0,0,
"By adding two variables to explain complexity of the empty model, you are further reducing the amount of error left unexplained by the empty model.",1,0,0,0,1,0,0,0,0,0,0,0,0,0,
The proportion of SS error should decrease as SS model increases because they are proportional to each other. The less SS error and more SS model there is the more variation is explained from the empty model.,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
"The additional parameter present in the two-predictor model would account for additional variation in the model. In other words, the extra parameter would explain additional error in the empty model. As a result, SS error would be more greatly reduced under the two-predictor model.",1,1,0,0,0,0,0,0,0,0,0,0,0,0,
It should have lower SS error because it explains more variation.,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
"Since both explanatory variables explain some variation, in this new model both explanatory variables working together explain even more.",1,1,0,0,0,0,0,0,0,0,1,0,0,0,
There is less error between the data to the complex model,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
"The two-predictor model is giving more room to vary the output. Basically its tailoring each output a little bit better, but needs more information than a one-predictor model.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,
"Because the combined effects from two explanatory variables, each of which explain some of variations in the outcome variable, will help explain the variation even better. Thus, there will be more error reduced. Plus since the outcome is always winpercent, the Total error will remain the same. Total =Model + Error, therefore, SS error will be lower in the two-predictor model than either of the one-predictor model.",1,1,1,1,0,0,0,0,0,0,1,0,0,0,
"Since you are using two variables to predict the same outcome variable, SStotal will be the same. However, since both of the explanatory variables explain some of the variation, SSerror for the two-predictor model should be lower than SSerror for either of the models that only used one explanatory variable.",1,1,0,1,0,0,0,0,0,0,0,0,0,0,
"Yes, this is true because two explanatory variables explain more of SS total than only one explanatory variable.",0,1,0,0,0,0,0,0,0,0,0,1,0,0,
"Because the chocolate+sugarpercent 2 predictor model explains more variation than the empty model. The SS Model represents a reduction in error, and as the explanatory variables account for more of the SS Total when the SS Model increases (by explaining more variation), there is left SS Error variation left to explain.",0,1,1,0,1,0,0,0,0,0,0,1,0,0,
"Since the two-predictor model explains more variation, the error should be reduced because the model explains more of the data.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,
The SS error is lower because more of the empty model has been explained by adding the two new explanatory variables of chocolate and sugarpercent. There is therefore less leftover sum of squares error.,0,1,0,0,1,0,0,0,0,0,0,1,0,0,
"Whenever we add an explanatory variable, we add an additional parameter, and thus we'll almost always explain some more variation of the empty model. Because SS error is the portion of variation unexplained, it follows that having an additional explanatory variable decreases SS error. Although SS error is decreased though, we must be cognizant of the # of degrees of freedom used, since an additional parameter will also use an additional degree of freedom.",1,1,0,0,0,0,1,0,0,0,0,0,0,0,
"It should be lower because you are adding in another variable to explain winpercent, so your model should be more accurate thus having less error.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,
I think that this is true because  there is less unexplained variation fro the empty model  and we have more data to the complex model's prediction with both the chocolate model and sugar percent model.,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
Because it is using two different variables proven to reduce error from the empty model  when they each stand alone. When they are combined  they will both continue to reduce error and ultimately having more error reduced than when they stand alone.,1,0,0,0,0,0,0,0,0,0,1,1,0,0,
because more error is being explained in the two-predictor model versus the one- predictor models.,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
"Because each model reduces some of the SS Total individually. The amount that isn't reduced (SS Error) is explained by other factors (other explanatory variables). In the case of the two-predictor model, we are adding one of those explanatory variables to another one and combining their explaining power. Therefore, both the models combined will explain more variation from SS Total (a higher SS Model) and will leave us with less unexplained variation (a lower SS Error) than each on its own.",0,1,1,0,0,0,0,0,0,0,1,1,0,0,
"This is the true because since we are adding another explanatory variable, more error will most likely be explained in the outcome variable and therefore there will be less residuals (smaller squared residuals by default). A better model has a smaller SS error and therefore, since we are explaining for of the error from the empty model to this two-predictor model, we will have a better model and thereby a lower SS Error.",1,1,0,0,0,0,0,0,0,0,0,1,0,0,
More error is being explained by the variable and complex model,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
"This is most likely true due to the fact that the SS Total will be the same (since it is the same outcome variable=win percent), but the SS Model will increase (the more predictors we have, the more variation is explained). Since SS Total=SS Model+SS Error, SS Error will therefore be decreased.",0,1,1,1,0,0,0,0,0,0,0,0,0,0,
That's true because using two predictors instead of one predictor will able to help explain more variation in the distribution which means that there should be less error around the model in the 2-predictor model than in the other models.,1,0,0,0,0,0,0,0,0,1,0,0,0,0,
"Because the two-predictor explains more, so it is reducing more error.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,
"Because adding another explanatory variable provides another possible explanation of variation. So when the complex model adds another variable to create a two group model it is accounting for both chocolate and sugar percent as variables that could affect win percent, which makes it more accurate and a lower SS error.",1,1,0,0,0,0,0,0,0,0,0,0,0,0,
Because it explains more error so the Model Error will be higher and thusly the Error form the model will be lower as theres more error explained.,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
Because more variation was explained using the complex model,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
"The two- predictor model should have a lower SS error than either the chocolate model or the sugarpercent model due to it being based on the residuals leftover after the total variation in the explanatory variables. In addition, it is known to be the standard deviation of the sampling distribution of an estimate.",0,0,0,0,1,0,0,0,0,0,0,0,0,0,
It should have lower error because it is explaining more of the variation in the empty model than each single variable did on its own,0,1,0,0,0,0,0,0,0,0,1,0,0,0,
